idTempo,Ano,Mes,Dia,idPoder,NomePoder,idUniOrc,GrpAdminUniOrc,NomeUniOrc,VlrDspSrvAtivo,VlrDspSrvInativo,VlrDspPensionista,VlrDspContratado,
42938,2016,12,5,3,EXECUTIVO,7426,AUTARQUIAS E FUNDACOES,DEPARTAMENTO DE OBRAS PUBLICAS,167830.87,0.00,0.00,0.00,
42538,2016,10,5,3,EXECUTIVO,7413,ADMINISTRACAO DIRETA,EGE-SECRETARIA DE ESTADO DE PL,0.00,0.00,30737698.54,0.00,
42538,2016,10,5,3,EXECUTIVO,7606,AUTARQUIAS E FUNDACOES,AGENCIA DE DESENVOLVIMENTO DA ,286175.81,0.00,0.00,0.00,
42069,2016,6,5,1,LEGISLATIVO,7597,AUTARQUIAS E FUNDACOES,INSTITUTO DE PREVIDENCIA DO LE,0.00,0.00,0.00,0.00,
41566,2016,1,5,3,EXECUTIVO,7418,AUTARQUIAS E FUNDACOES,FUNDACAO JOAO PINHEIRO,2101328.06,0.00,0.00,0.00,
41566,2016,1,5,3,EXECUTIVO,7404,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE DESENV,587004.56,0.00,0.00,2330.31,
41566,2016,1,5,3,EXECUTIVO,7407,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE ESPORT,435675.57,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7603,AUTARQUIAS E FUNDACOES,AGENCIA DE DESENVOLVIMENTO DA ,286675.47,0.00,0.00,0.00,
41566,2016,1,5,3,EXECUTIVO,7601,AUTARQUIAS E FUNDACOES,INSTITUTO DE GEOINFORMACAO  E ,447333.31,0.00,0.00,0.00,
41626,2016,3,5,3,EXECUTIVO,7604,AUTARQUIAS E FUNDACOES,AGENCIA REGULADORA DE SERVICOS,762304.06,0.00,0.00,0.00,
41626,2016,3,5,4,MINISTÉRIO PÚBLICO,7352,FUNDOS,FUNDO ESTADUAL DE PROTECAO E D,0.00,0.00,0.00,0.00,
42008,2016,4,5,3,EXECUTIVO,7365,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO  DE TRANS,797374.59,0.00,0.00,0.00,
42038,2016,5,5,3,EXECUTIVO,7422,AUTARQUIAS E FUNDACOES,INSTITUTO ESTADUAL DE FLORESTA,4769537.65,0.00,0.00,0.00,
42038,2016,5,5,3,EXECUTIVO,7424,AUTARQUIAS E FUNDACOES,INSTITUTO DE PREVIDENCIA DOS S,1163180.88,0.00,102869191.90,0.00,
42069,2016,6,5,3,EXECUTIVO,7354,ADMINISTRACAO DIRETA,ESCRITORIO DE REPRESENTACAO DO,88117.44,0.00,0.00,0.00,
42099,2016,7,5,3,EXECUTIVO,7431,AUTARQUIAS E FUNDACOES,INSTITUTO ESTADUAL DO PATRIMON,590234.60,0.00,0.00,0.00,
42099,2016,7,5,3,EXECUTIVO,7376,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE DESENV,646637.58,0.00,0.00,0.00,
42938,2016,12,5,3,EXECUTIVO,7368,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE MEIO A,6277253.87,0.00,0.00,4692.93,
42938,2016,12,5,3,EXECUTIVO,7421,AUTARQUIAS E FUNDACOES,FUNDACAO ESTADUAL DO MEIO AMBI,1260008.28,0.00,0.00,0.00,
42938,2016,12,5,1,LEGISLATIVO,7610,FUNDOS,FUNDO DE APOIO HABITACIONAL DA,0.00,0.00,0.00,0.00,
42538,2016,10,5,3,EXECUTIVO,7598,AUTARQUIAS E FUNDACOES,INSTITUTO MINEIRO DE AGROPECUA,20637835.02,0.00,0.00,0.00,
41626,2016,3,5,3,EXECUTIVO,7608,EMPRESAS DEPENDENTES,EMPRESA DE PESQUISA AGROPECUAR,6441615.25,0.00,0.00,0.00,
42477,2016,8,5,3,EXECUTIVO,7608,EMPRESAS DEPENDENTES,EMPRESA DE PESQUISA AGROPECUAR,7475995.49,0.00,0.00,0.00,
42008,2016,4,5,3,EXECUTIVO,7607,EMPRESAS DEPENDENTES,EMPRESA DE ASSISTENCIA TECNICA,22442364.41,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7401,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE DESENV,203608.77,0.00,0.00,0.00,
42038,2016,5,5,3,EXECUTIVO,7600,AUTARQUIAS E FUNDACOES,IMPRENSA OFICIAL DO ESTADO DE ,1137886.30,0.00,0.00,247318.51,
42038,2016,5,5,3,EXECUTIVO,7363,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE CULTUR,810442.60,0.00,0.00,0.00,
42038,2016,5,5,3,EXECUTIVO,7401,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE DESENV,182928.91,0.00,0.00,0.00,
42069,2016,6,5,3,EXECUTIVO,7396,ADMINISTRACAO DIRETA,CONTROLADORIA-GERAL DO ESTADO,1928774.27,0.00,0.00,0.00,
42099,2016,7,5,3,EXECUTIVO,7435,AUTARQUIAS E FUNDACOES,FUNDACAO EZEQUIEL DIAS,4500894.56,0.00,0.00,7016.67,
42508,2016,9,5,3,EXECUTIVO,7357,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE FAZEND,73389115.85,0.00,0.00,0.00,
42508,2016,9,5,3,EXECUTIVO,7348,ADMINISTRACAO DIRETA,GABINETE MILITAR DO GOVERNADOR,507213.38,0.00,0.00,0.00,
42508,2016,9,5,3,EXECUTIVO,7383,FUNDOS,FUNDO ESTADUAL DE ASSISTENCIA ,0.00,0.00,0.00,0.00,
42538,2016,10,5,3,EXECUTIVO,7360,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE AGRICU,1158687.85,0.00,0.00,0.00,
42538,2016,10,5,3,EXECUTIVO,7371,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE TURISM,1375000.28,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7433,AUTARQUIAS E FUNDACOES,INSTITUTO MINEIRO DE GESTAO DA,800837.39,0.00,0.00,0.00,
41597,2016,2,5,4,MINISTÉRIO PÚBLICO,7350,ADMINISTRACAO DIRETA,PROCURADORIA GERAL DE JUSTICA,85990977.70,22716790.97,4746598.88,0.00,
41597,2016,2,5,3,EXECUTIVO,7437,AUTARQUIAS E FUNDACOES,FUNDACAO DE EDUCACAO PARA O TR,569394.03,0.00,0.00,0.00,
41626,2016,3,5,3,EXECUTIVO,7369,FUNDOS,FUNDO DE RECUPERACAO, PROTECAO,0.00,0.00,0.00,0.00
41626,2016,3,5,3,EXECUTIVO,7413,ADMINISTRACAO DIRETA,EGE-SECRETARIA DE ESTADO DE PL,0.00,0.00,15649557.68,0.00,
42008,2016,4,5,3,EXECUTIVO,7431,AUTARQUIAS E FUNDACOES,INSTITUTO ESTADUAL DO PATRIMON,651298.19,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7387,ADMINISTRACAO DIRETA,POLICIA CIVIL DO ESTADO DE MIN,119264495.49,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7387,ADMINISTRACAO DIRETA,POLICIA CIVIL DO ESTADO DE MIN,123764683.26,0.00,0.00,400.21,
41626,2016,3,5,3,EXECUTIVO,7367,FUNDOS,FUNDO ESTADUAL DE SAUDE,28846779.81,0.00,0.00,174945.81,
41626,2016,3,5,3,EXECUTIVO,7353,ADMINISTRACAO DIRETA,OUVIDORIA-GERAL DO ESTADO DE M,327343.86,0.00,0.00,0.00,
42038,2016,5,5,3,EXECUTIVO,7427,AUTARQUIAS E FUNDACOES,FUNDACAO HELENA ANTIPOFF,807788.33,0.00,0.00,0.00,
42038,2016,5,5,3,EXECUTIVO,7612,FUNDOS,FUNDO ESTADUAL DE HABITACAO,0.00,0.00,0.00,0.00,
42069,2016,6,5,3,EXECUTIVO,7424,AUTARQUIAS E FUNDACOES,INSTITUTO DE PREVIDENCIA DOS S,667745.33,0.00,103418412.55,0.00,
42099,2016,7,5,3,EXECUTIVO,7363,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE CULTUR,837997.48,0.00,0.00,0.00,
42099,2016,7,5,3,EXECUTIVO,7599,AUTARQUIAS E FUNDACOES,DEPARTAMENTO ESTADUAL DE TELEC,38880.54,0.00,0.00,0.00,
42477,2016,8,5,3,EXECUTIVO,7365,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO  DE TRANS,817975.89,0.00,0.00,9898.37,
42477,2016,8,5,3,EXECUTIVO,7429,AUTARQUIAS E FUNDACOES,FUNDACAO DE ARTE DE OURO PRETO,160668.44,0.00,0.00,1282.06,
42538,2016,10,5,3,EXECUTIVO,7419,AUTARQUIAS E FUNDACOES,FUNDACAO DE AMPARO A PESQUISA ,1264723.61,0.00,0.00,0.00,
42008,2016,4,5,3,EXECUTIVO,7609,EMPRESAS DEPENDENTES,EMPRESA MINEIRA DE COMUNICACAO,576192.47,0.00,0.00,0.00,
42038,2016,5,5,3,EXECUTIVO,7608,EMPRESAS DEPENDENTES,EMPRESA DE PESQUISA AGROPECUAR,7839762.63,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7373,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE ADMINI,74691863.20,0.00,0.00,64336184.28,
41597,2016,2,5,3,EXECUTIVO,7381,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE TRABAL,2322690.82,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7405,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE DIREIT,879793.24,0.00,0.00,0.00,
41566,2016,1,5,3,EXECUTIVO,7354,ADMINISTRACAO DIRETA,ESCRITORIO DE REPRESENTACAO DO,89421.44,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7428,AUTARQUIAS E FUNDACOES,FUNDACAO EDUCACIONAL CAIO MART,190149.83,0.00,1026.66,0.00,
41597,2016,2,5,3,EXECUTIVO,7369,FUNDOS,FUNDO DE RECUPERACAO, PROTECAO,0.00,0.00,0.00,0.00
42038,2016,5,5,3,EXECUTIVO,7373,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE ADMINI,65377796.67,0.00,0.00,62687399.36,
42038,2016,5,5,3,EXECUTIVO,7383,FUNDOS,FUNDO ESTADUAL DE ASSISTENCIA ,0.00,0.00,0.00,0.00,
42038,2016,5,5,3,EXECUTIVO,7425,FUNDOS,FUNDO DE APOIO HABITACIONAL AO,0.00,0.00,0.00,0.00,
42099,2016,7,5,3,EXECUTIVO,7386,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE PLANEJ,9366166.38,0.00,0.00,358071.02,
42477,2016,8,5,3,EXECUTIVO,7430,AUTARQUIAS E FUNDACOES,FUNDACAO CLOVIS SALGADO,1465965.68,0.00,880.00,0.00,
42477,2016,8,5,3,EXECUTIVO,7595,AUTARQUIAS E FUNDACOES,INSTITUTO DE METROLOGIA E QUAL,912362.25,0.00,0.00,0.00,
42477,2016,8,5,4,MINISTÉRIO PÚBLICO,7352,FUNDOS,FUNDO ESTADUAL DE PROTECAO E D,0.00,0.00,0.00,0.00,
42508,2016,9,5,3,EXECUTIVO,7349,ADMINISTRACAO DIRETA,ADVOCACIA-GERAL DO ESTADO,24588609.88,0.00,0.00,0.00,
42938,2016,12,5,3,EXECUTIVO,7425,FUNDOS,FUNDO DE APOIO HABITACIONAL AO,0.00,0.00,0.00,0.00,
42538,2016,10,5,3,EXECUTIVO,7409,ADMINISTRACAO DIRETA,EGE SEC.FAZENDA-ENCARGOS DIVER,0.00,0.00,0.00,0.00,
42538,2016,10,5,3,EXECUTIVO,7426,AUTARQUIAS E FUNDACOES,DEPARTAMENTO DE OBRAS PUBLICAS,3242577.87,0.00,0.00,0.00,
41566,2016,1,5,3,EXECUTIVO,7385,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE GOVERN,1736036.31,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7370,ADMINISTRACAO DIRETA,CORPO DE BOMBEIROS MILITAR DO ,54436724.55,22044699.96,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7430,AUTARQUIAS E FUNDACOES,FUNDACAO CLOVIS SALGADO,1383695.98,0.00,880.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7381,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE TRABAL,2272540.42,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7386,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE PLANEJ,9315700.03,0.00,0.00,355184.65,
41626,2016,3,5,1,LEGISLATIVO,7343,ADMINISTRACAO DIRETA,ASSEMBLEIA LEGISLATIVA DO ESTA,48815938.37,23139714.82,173763.76,0.00,
42008,2016,4,5,3,EXECUTIVO,7359,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE DESENV,340881.39,0.00,0.00,0.00,
42008,2016,4,5,3,EXECUTIVO,7439,FUNDOS,FUNDO ESTADUAL DE DESENVOLVIME,0.00,0.00,0.00,0.00,
42038,2016,5,5,3,EXECUTIVO,7386,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE PLANEJ,9449775.96,0.00,0.00,400839.24,
42069,2016,6,5,3,EXECUTIVO,7421,AUTARQUIAS E FUNDACOES,FUNDACAO ESTADUAL DO MEIO AMBI,1273409.79,0.00,0.00,0.00,
42069,2016,6,5,3,EXECUTIVO,7407,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE ESPORT,399961.97,0.00,0.00,0.00,
42069,2016,6,5,3,EXECUTIVO,7409,ADMINISTRACAO DIRETA,EGE SEC.FAZENDA-ENCARGOS DIVER,0.00,0.00,0.00,0.00,
42099,2016,7,5,3,EXECUTIVO,7362,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE EDUCAC,645662496.22,0.00,0.00,217415.49,
42069,2016,6,5,4,MINISTÉRIO PÚBLICO,7352,FUNDOS,FUNDO ESTADUAL DE PROTECAO E D,0.00,0.00,0.00,0.00,
42099,2016,7,5,3,EXECUTIVO,7438,AUTARQUIAS E FUNDACOES,DEPARTAMENTO DE EDIFICACOES E ,7975597.28,0.00,231703.13,0.00,
42099,2016,7,5,3,EXECUTIVO,7405,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE DIREIT,1047507.32,0.00,0.00,0.00,
42477,2016,8,5,3,EXECUTIVO,7428,AUTARQUIAS E FUNDACOES,FUNDACAO EDUCACIONAL CAIO MART,217022.34,0.00,440.00,0.00,
42477,2016,8,5,3,EXECUTIVO,7383,FUNDOS,FUNDO ESTADUAL DE ASSISTENCIA ,0.00,0.00,0.00,0.00,
42477,2016,8,5,3,EXECUTIVO,7437,AUTARQUIAS E FUNDACOES,FUNDACAO DE EDUCACAO PARA O TR,499470.08,0.00,0.00,0.00,
42477,2016,8,5,3,EXECUTIVO,7353,ADMINISTRACAO DIRETA,OUVIDORIA-GERAL DO ESTADO DE M,283340.31,0.00,0.00,0.00,
42508,2016,9,5,3,EXECUTIVO,7407,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE ESPORT,387568.21,0.00,0.00,0.00,
42938,2016,12,5,3,EXECUTIVO,7424,AUTARQUIAS E FUNDACOES,INSTITUTO DE PREVIDENCIA DOS S,665138.43,0.00,103673468.88,0.00,
42938,2016,12,5,3,EXECUTIVO,7419,AUTARQUIAS E FUNDACOES,FUNDACAO DE AMPARO A PESQUISA ,1970395.27,0.00,0.00,0.00,
42938,2016,12,5,3,EXECUTIVO,7369,FUNDOS,FUNDO DE RECUPERACAO, PROTECAO,0.00,0.00,0.00,0.00
42538,2016,10,5,3,EXECUTIVO,7602,AUTARQUIAS E FUNDACOES,INSTITUTO DE DESENVOLVIMENTO D,854152.28,0.00,0.00,0.00,
42538,2016,10,5,2,JUDICIÁRIO,7347,ADMINISTRACAO DIRETA,TRIBUNAL DE JUSTICA MILITAR DO,4135616.69,1536202.89,211943.20,0.00,
42538,2016,10,5,3,EXECUTIVO,7605,AUTARQUIAS E FUNDACOES,FUNDACAO CENTRO INTERNACIONAL ,4565.47,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7422,AUTARQUIAS E FUNDACOES,INSTITUTO ESTADUAL DE FLORESTA,5109973.38,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7395,ADMINISTRACAO DIRETA,DEPARTAMENTO DE TRANSITO DE MI,0.00,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7439,FUNDOS,FUNDO ESTADUAL DE DESENVOLVIME,0.00,0.00,0.00,0.00,
42008,2016,4,5,2,JUDICIÁRIO,7347,ADMINISTRACAO DIRETA,TRIBUNAL DE JUSTICA MILITAR DO,2028973.14,714712.52,121207.16,0.00,
42069,2016,6,5,3,EXECUTIVO,7405,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE DIREIT,882091.36,0.00,0.00,0.00,
42099,2016,7,5,3,EXECUTIVO,7403,ADMINISTRACAO DIRETA,SECRETARIA-GERAL,934082.13,0.00,0.00,0.00,
42477,2016,8,5,3,EXECUTIVO,7422,AUTARQUIAS E FUNDACOES,INSTITUTO ESTADUAL DE FLORESTA,4985706.32,0.00,0.00,0.00,
42477,2016,8,5,3,EXECUTIVO,7600,AUTARQUIAS E FUNDACOES,IMPRENSA OFICIAL DO ESTADO DE ,950638.80,0.00,0.00,244477.21,
42508,2016,9,5,3,EXECUTIVO,7401,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE DESENV,176895.57,0.00,0.00,0.00,
41566,2016,1,5,1,LEGISLATIVO,7343,ADMINISTRACAO DIRETA,ASSEMBLEIA LEGISLATIVA DO ESTA,48166315.69,22926854.92,173763.76,0.00,
41566,2016,1,5,3,EXECUTIVO,7428,AUTARQUIAS E FUNDACOES,FUNDACAO EDUCACIONAL CAIO MART,207301.11,0.00,1026.66,0.00,
41597,2016,2,5,3,EXECUTIVO,7363,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE CULTUR,828147.77,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7379,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE CIDADE,601461.43,0.00,0.00,0.00,
41626,2016,3,5,3,EXECUTIVO,7372,ADMINISTRACAO DIRETA,DEFENSORIA PUBLICA DO ESTADO D,18638727.49,7115259.00,0.00,0.00,
42008,2016,4,5,3,EXECUTIVO,7361,ADMINISTRACAO DIRETA,POLICIA MILITAR DO ESTADO DE M,363767797.10,417737414.41,0.00,0.00,
42008,2016,4,5,3,EXECUTIVO,7373,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE ADMINI,65579071.17,0.00,0.00,62867921.09,
42008,2016,4,5,3,EXECUTIVO,7409,ADMINISTRACAO DIRETA,EGE SEC.FAZENDA-ENCARGOS DIVER,0.00,0.00,0.00,0.00,
42038,2016,5,5,3,EXECUTIVO,7395,ADMINISTRACAO DIRETA,DEPARTAMENTO DE TRANSITO DE MI,0.00,0.00,0.00,0.00,
42038,2016,5,5,3,EXECUTIVO,7602,AUTARQUIAS E FUNDACOES,INSTITUTO DE DESENVOLVIMENTO D,486334.38,0.00,0.00,0.00,
42069,2016,6,5,3,EXECUTIVO,7349,ADMINISTRACAO DIRETA,ADVOCACIA-GERAL DO ESTADO,12834666.27,0.00,0.00,0.00,
42069,2016,6,5,3,EXECUTIVO,7371,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE TURISM,517552.73,0.00,0.00,0.00,
42069,2016,6,5,3,EXECUTIVO,7429,AUTARQUIAS E FUNDACOES,FUNDACAO DE ARTE DE OURO PRETO,164089.57,0.00,0.00,1643.56,
42477,2016,8,5,3,EXECUTIVO,7397,ADMINISTRACAO DIRETA,ESCOLA DE SAUDE PUBLICA DO EST,571709.29,0.00,0.00,16180.57,
42477,2016,8,5,3,EXECUTIVO,7385,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE GOVERN,1630775.41,0.00,0.00,0.00,
42508,2016,9,5,3,EXECUTIVO,7431,AUTARQUIAS E FUNDACOES,INSTITUTO ESTADUAL DO PATRIMON,581064.48,0.00,0.00,0.00,
42938,2016,12,5,3,EXECUTIVO,7417,AUTARQUIAS E FUNDACOES,LOTERIA DO ESTADO DE MINAS GER,166644.56,0.00,0.00,0.00,
42538,2016,10,5,3,EXECUTIVO,7359,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE DESENV,710335.64,0.00,0.00,0.00,
42538,2016,10,5,1,LEGISLATIVO,7344,ADMINISTRACAO DIRETA,TRIBUNAL DE CONTAS DO ESTADO D,33114853.31,12768048.81,118227.02,0.00,
42508,2016,9,5,3,EXECUTIVO,7374,FUNDOS,FUNDO PENITENCIARIO ESTADUAL,0.00,0.00,0.00,0.00,
42477,2016,8,5,3,EXECUTIVO,7401,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE DESENV,176926.53,0.00,0.00,0.00,
42508,2016,9,5,3,EXECUTIVO,7359,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE DESENV,898002.03,0.00,0.00,0.00,
42938,2016,12,5,3,EXECUTIVO,7371,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE TURISM,34437.75,0.00,0.00,0.00,
42538,2016,10,5,3,EXECUTIVO,7353,ADMINISTRACAO DIRETA,OUVIDORIA-GERAL DO ESTADO DE M,443895.60,0.00,0.00,0.00,
41566,2016,1,5,3,EXECUTIVO,7415,AUTARQUIAS E FUNDACOES,INSTITUTO DE PREVIDENCIA DOS S,17444374.97,0.00,7920.00,2687.66,
41566,2016,1,5,3,EXECUTIVO,7413,ADMINISTRACAO DIRETA,EGE-SECRETARIA DE ESTADO DE PL,0.00,0.00,15812335.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7423,AUTARQUIAS E FUNDACOES,FUNDACAO RURAL MINEIRA,462814.53,0.00,1297.81,0.00,
41597,2016,2,5,3,EXECUTIVO,7605,AUTARQUIAS E FUNDACOES,FUNDACAO CENTRO INTERNACIONAL ,161414.50,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7432,AUTARQUIAS E FUNDACOES,FUNDACAO TV MINAS CULTURAL E E,1054407.15,0.00,0.00,88563.87,
41597,2016,2,5,3,EXECUTIVO,7427,AUTARQUIAS E FUNDACOES,FUNDACAO HELENA ANTIPOFF,719020.70,0.00,0.00,0.00,
41626,2016,3,5,3,EXECUTIVO,7435,AUTARQUIAS E FUNDACOES,FUNDACAO EZEQUIEL DIAS,4388019.70,0.00,0.00,149933.57,
41626,2016,3,5,3,EXECUTIVO,7595,AUTARQUIAS E FUNDACOES,INSTITUTO DE METROLOGIA E QUAL,1016582.62,0.00,0.00,0.00,
41626,2016,3,5,2,JUDICIÁRIO,7347,ADMINISTRACAO DIRETA,TRIBUNAL DE JUSTICA MILITAR DO,1830943.98,716589.84,121207.16,0.00,
41626,2016,3,5,3,EXECUTIVO,7424,AUTARQUIAS E FUNDACOES,INSTITUTO DE PREVIDENCIA DOS S,638213.22,0.00,101668607.26,0.00,
42038,2016,5,5,3,EXECUTIVO,7370,ADMINISTRACAO DIRETA,CORPO DE BOMBEIROS MILITAR DO ,55105675.93,23004764.58,0.00,0.00,
42038,2016,5,5,3,EXECUTIVO,7400,ADMINISTRACAO DIRETA,SECRETARIA DE ESTADO DE CASA C,916761.16,0.00,0.00,0.00,
42069,2016,6,5,3,EXECUTIVO,7426,AUTARQUIAS E FUNDACOES,DEPARTAMENTO DE OBRAS PUBLICAS,1292751.43,0.00,0.00,0.00,
42069,2016,6,5,3,EXECUTIVO,7605,AUTARQUIAS E FUNDACOES,FUNDACAO CENTRO INTERNACIONAL ,148744.49,0.00,0.00,0.00,
42508,2016,9,5,3,EXECUTIVO,7433,AUTARQUIAS E FUNDACOES,INSTITUTO MINEIRO DE GESTAO DA,744508.71,0.00,0.00,0.00,
42508,2016,9,5,3,EXECUTIVO,7428,AUTARQUIAS E FUNDACOES,FUNDACAO EDUCACIONAL CAIO MART,189291.62,0.00,440.00,0.00,
42938,2016,12,5,3,EXECUTIVO,7606,AUTARQUIAS E FUNDACOES,AGENCIA DE DESENVOLVIMENTO DA ,146944.77,0.00,0.00,0.00,
42538,2016,10,5,3,EXECUTIVO,7396,ADMINISTRACAO DIRETA,CONTROLADORIA-GERAL DO ESTADO,3665067.35,0.00,0.00,0.00,
42538,2016,10,5,3,EXECUTIVO,7424,AUTARQUIAS E FUNDACOES,INSTITUTO DE PREVIDENCIA DOS S,1339880.90,0.00,204784337.25,0.00,
42069,2016,6,5,3,EXECUTIVO,7609,EMPRESAS DEPENDENTES,EMPRESA MINEIRA DE COMUNICACAO,559502.41,0.00,0.00,0.00,
41597,2016,2,5,3,EXECUTIVO,7367,FUNDOS,FUNDO ESTADUAL DE SAUDE,27906209.28,0.00,0.00,250822.35,
41566,2016,1,5,3,EXECUTIVO,7427,AUTARQUIAS E FUNDACOES,FUNDACAO HELENA ANTIPOFF,793607.85,0.00,0.00,0.00,
