idTempo	Ano	Mes	Dia	idPoder	NomePoder	idUniOrc	GrpAdminUniOrc	NomeUniOrc	VlrDspSrvAtivo	VlrDspSrvInativo	VlrDspPensionista	VlrDspContratado	VlrTotalGasto	VlrArrecadado
41626	2016	3	5	1	LEGISLATIVO	7610	FUNDOS	FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS	0.00	0.00	0.00	0.00	0.00	1970979.32
41626	2016	3	5	3	EXECUTIVO	7362	ADMINISTRACAO DIRETA	SECRETARIA DE ESTADO DE EDUCACAO	542035078.72	0.00	0.00	210824.73	542245903.45	330.10
42508	2016	9	5	3	EXECUTIVO	7387	ADMINISTRACAO DIRETA	POLICIA CIVIL DO ESTADO DE MINAS GERAIS	127733154.84	0.00	0.00	0.00	127733154.84	0.00
42069	2016	6	5	3	EXECUTIVO	7441	AUTARQUIAS E FUNDACOES	FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS	8105880.76	0.00	293.33	583872.33	8690046.42	7854.27
42038	2016	5	5	3	EXECUTIVO	7361	ADMINISTRACAO DIRETA	POLICIA MILITAR DO ESTADO DE MINAS GERAIS	370634886.04	420575870.01	0.00	0.00	791210756.05	1800.68
42477	2016	8	5	3	EXECUTIVO	7405	ADMINISTRACAO DIRETA	SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA	996654.95	0.00	0.00	0.00	996654.95	1445000.00
42069	2016	6	5	2	JUDICIÁRIO	7346	FUNDOS	FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS	0.00	0.00	0.00	0.00	0.00	25.65
42538	2016	10	5	3	EXECUTIVO	7415	AUTARQUIAS E FUNDACOES	INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS	31405048.64	0.00	14520.00	0.00	31419568.64	9098789.17
42538	2016	10	5	3	EXECUTIVO	7411	FUNDOS	FUNDO FINANCEIRO DE PREVIDENCIA	11676.31	1490482321.04	257292685.07	0.00	1747786682.42	696533208.16
42538	2016	10	5	3	EXECUTIVO	7401	ADMINISTRACAO DIRETA	SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS	339536.48	0.00	0.00	0.00	339536.48	439128.03
42477	2016	8	5	3	EXECUTIVO	7439	FUNDOS	FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES	0.00	0.00	0.00	0.00	0.00	8866236.56
42477	2016	8	5	3	EXECUTIVO	7441	AUTARQUIAS E FUNDACOES	FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS	7954864.27	0.00	293.33	603352.77	8558510.37	1080746.76
